Temperature,Date/Time
25.312,Apr 29 00:37:08
25.25,Apr 29 00:37:12
25.25,Apr 29 00:37:15
25.25,Apr 29 00:37:17
25.25,Apr 29 00:37:20
25.25,Apr 29 00:37:23
25.25,Apr 29 00:37:26
25.25,Apr 29 00:37:28
25.312,Apr 29 00:37:31
25.312,Apr 29 00:37:34
25.312,Apr 29 00:37:36
25.312,Apr 29 00:37:39
25.312,Apr 29 00:37:42
25.25,Apr 29 00:37:45
25.25,Apr 29 00:37:48
25.25,Apr 29 00:37:52
25.25,Apr 29 00:37:54
25.25,Apr 29 00:37:57
25.25,Apr 29 00:38:00
25.25,Apr 29 00:38:03
25.25,Apr 29 00:38:06
25.25,Apr 29 00:38:09
25.25,Apr 29 00:38:13
25.25,Apr 29 00:38:16
25.312,Apr 29 00:39:47
25.312,Apr 29 00:39:49
25.312,Apr 29 00:39:53
25.312,Apr 29 00:39:56
25.312,Apr 29 00:39:59
25.375,Apr 29 00:40:04
25.375,Apr 29 00:40:06
25.312,Apr 29 00:40:09
25.312,Apr 29 00:40:11
25.312,Apr 29 00:40:14
25.312,Apr 29 00:40:17
